,op_id,dispatch
52,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0b_3x3/Relu,MACA
53,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0c_3x3/Relu,MACA
54,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0c_3x3/Relu,MACA
55,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0b_3x3/Relu,CV_DSP_0
56,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/concat,MACA
57,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/mul,MACA
58,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu,CV_DSP_1
59,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu,MACA
60,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0a_1x1/Relu,MACA
61,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0a_1x1/Relu,CV_DSP_1
62,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_0/Conv2d_1x1/Relu,MACA
63,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0a_1x1/Relu,MACA
64,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_0/Conv2d_1x1/Relu,CV_DSP_0
65,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0b_3x3/Relu,MACA
66,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0a_1x1/Relu,CV_DSP_1
67,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0b_3x3/Relu,CV_DSP_0
68,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0b_3x3/Relu,MACA
69,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0b_3x3/Relu,CV_DSP_1
70,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0c_3x3/Relu,MACA
71,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0c_3x3/Relu,CV_DSP_0
72,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/concat,CV_DSP_1
73,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/mul,MACA
74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Relu,CV_DSP_1
75,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Relu,CV_DSP_0
76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_2/Conv2d_0a_1x1/Relu,MACA
77,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_1/Conv2d_0a_1x1/Relu,MACA
78,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_2/Conv2d_0a_1x1/Relu,CV_DSP_0
79,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_0/Conv2d_1x1/Relu,MACA
80,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_1/Conv2d_0a_1x1/Relu,CV_DSP_1
81,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_2/Conv2d_0b_3x3/Relu,MACA
82,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_0/Conv2d_1x1/Relu,CV_DSP_1
83,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_1/Conv2d_0b_3x3/Relu,MACA
84,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_2/Conv2d_0b_3x3/Relu,CV_DSP_0
85,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_1/Conv2d_0b_3x3/Relu,CV_DSP_1
86,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_2/Conv2d_0c_3x3/Relu,MACA
87,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Branch_2/Conv2d_0c_3x3/Relu,CV_DSP_0
88,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/concat,MACA
89,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/mul,MACA
90,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Relu,CV_DSP_1
91,InceptionResnetV2/InceptionResnetV2/Repeat/block35_4/Relu,CV_DSP_0
92,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_2/Conv2d_0a_1x1/Relu,MACA
93,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_0/Conv2d_1x1/Relu,MACA
94,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_2/Conv2d_0a_1x1/Relu,CV_DSP_1
95,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_1/Conv2d_0a_1x1/Relu,MACA
96,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_1/Conv2d_0a_1x1/Relu,CV_DSP_0
97,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_0/Conv2d_1x1/Relu,CV_DSP_1
98,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_2/Conv2d_0b_3x3/Relu,MACA
99,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_2/Conv2d_0b_3x3/Relu,CV_DSP_0
100,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_1/Conv2d_0b_3x3/Relu,MACA
101,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_1/Conv2d_0b_3x3/Relu,CV_DSP_1
102,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_2/Conv2d_0c_3x3/Relu,MACA
103,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Branch_2/Conv2d_0c_3x3/Relu,CV_DSP_0
104,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/concat,MACA
105,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/mul,MACA
106,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Relu,CV_DSP_1
107,InceptionResnetV2/InceptionResnetV2/Repeat/block35_5/Relu,CV_DSP_0
108,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_2/Conv2d_0a_1x1/Relu,MACA
109,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_0/Conv2d_1x1/Relu,MACA
110,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_2/Conv2d_0a_1x1/Relu,CV_DSP_1
111,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_0/Conv2d_1x1/Relu,CV_DSP_0
112,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_1/Conv2d_0a_1x1/Relu,MACA
113,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_2/Conv2d_0b_3x3/Relu,MACA
114,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_1/Conv2d_0a_1x1/Relu,CV_DSP_1
115,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_2/Conv2d_0b_3x3/Relu,CV_DSP_0
116,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_1/Conv2d_0b_3x3/Relu,MACA
117,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_2/Conv2d_0c_3x3/Relu,MACA
118,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_1/Conv2d_0b_3x3/Relu,CV_DSP_0
119,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Branch_2/Conv2d_0c_3x3/Relu,CV_DSP_1
120,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/concat,CV_DSP_1
121,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/mul,MACA
122,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Relu,CV_DSP_1
123,InceptionResnetV2/InceptionResnetV2/Repeat/block35_6/Relu,CV_DSP_0
124,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_2/Conv2d_0a_1x1/Relu,MACA
125,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_2/Conv2d_0a_1x1/Relu,CV_DSP_1
126,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_1/Conv2d_0a_1x1/Relu,MACA
127,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_1/Conv2d_0a_1x1/Relu,CV_DSP_0
128,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_0/Conv2d_1x1/Relu,MACA
129,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_0/Conv2d_1x1/Relu,CV_DSP_1
130,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_2/Conv2d_0b_3x3/Relu,MACA
131,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_1/Conv2d_0b_3x3/Relu,MACA
132,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_2/Conv2d_0b_3x3/Relu,CV_DSP_0
133,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_1/Conv2d_0b_3x3/Relu,CV_DSP_1
134,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_2/Conv2d_0c_3x3/Relu,MACA
135,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Branch_2/Conv2d_0c_3x3/Relu,MACA
136,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/concat,MACA
137,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/mul,MACA
138,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Relu,CV_DSP_1
139,InceptionResnetV2/InceptionResnetV2/Repeat/block35_7/Relu,MACA
140,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_2/Conv2d_0a_1x1/Relu,MACA
141,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_0/Conv2d_1x1/Relu,MACA
142,InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_2/Conv2d_0a_1x1/Relu,CV_DSP_1
143,InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_0/Conv2d_1x1/Relu,CV_DSP_0
144,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_1/Conv2d_0a_1x1/Relu,MACA
145,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_2/Conv2d_0b_3x3/Relu,MACA
146,InceptionResnetV2/InceptionResnetV2/Repeat/block35_8/Branch_1/Conv2d_0a_1x1/Relu,CV_DSP_1
