,op_id,dispatch
0,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,maca
1,InceptionV3/InceptionV3/Conv2d_1a_3x3/Relu,maca
2,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,maca
3,InceptionV3/InceptionV3/Conv2d_2a_3x3/Relu,maca
4,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,maca
5,InceptionV3/InceptionV3/Conv2d_2b_3x3/Relu,maca
6,InceptionV3/InceptionV3/MaxPool_3a_3x3/MaxPool,maca
7,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu,maca
8,InceptionV3/InceptionV3/Conv2d_3b_1x1/Relu,maca
9,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu,maca
10,InceptionV3/InceptionV3/Conv2d_4a_3x3/Relu,maca
11,InceptionV3/InceptionV3/MaxPool_5a_3x3/MaxPool,maca
12,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0a_1x1/Relu,maca
13,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_0/Conv2d_0a_1x1/Relu,maca
14,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0a_1x1/Relu,maca
15,InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0a_1x1/Relu,maca
16,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0b_3x3/Relu,maca
17,InceptionV3/InceptionV3/Mixed_5b/Branch_3/AvgPool_0a_3x3/AvgPool,maca
18,InceptionV3/InceptionV3/Mixed_5b/Branch_0/Conv2d_0a_1x1/Relu,maca
19,InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0a_1x1/Relu,maca
20,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_3/Conv2d_0b_1x1/Relu,maca
21,InceptionV3/InceptionV3/Mixed_5b/Branch_3/Conv2d_0b_1x1/Relu,maca
22,InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0b_3x3/Relu,maca
23,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu,maca
24,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0b_5x5/Relu,maca
25,InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu,maca
26,InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0b_5x5/Relu,maca
27,InceptionV3/InceptionV3/Mixed_5b/concat,maca
28,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_0/Conv2d_0a_1x1/Relu,maca
29,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0a_1x1/Relu,maca
30,InceptionV3/InceptionV3/Mixed_5c/Branch_3/AvgPool_0a_3x3/AvgPool,maca
31,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_1/Conv2d_0b_1x1/Relu,maca
32,InceptionV3/InceptionV3/Mixed_5c/Branch_1/Conv2d_0b_1x1/Relu,maca
33,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_1/Conv_1_0c_5x5/Relu,maca
34,InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0a_1x1/Relu,maca
35,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0b_3x3/Relu,maca
36,InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0b_3x3/Relu,maca
37,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_3/Conv2d_0b_1x1/Relu,maca
38,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0c_3x3/Relu,maca
39,InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0c_3x3/Relu,maca
40,InceptionV3/InceptionV3/Mixed_5c/Branch_3/Conv2d_0b_1x1/Relu,maca
41,InceptionV3/InceptionV3/Mixed_5c/Branch_0/Conv2d_0a_1x1/Relu,cv_dsp0
42,InceptionV3/InceptionV3/Mixed_5c/Branch_1/Conv_1_0c_5x5/Relu,maca
43,InceptionV3/InceptionV3/Mixed_5c/concat,maca
44,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_2/Conv2d_0a_1x1/Relu,maca
45,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_0/Conv2d_0a_1x1/Relu,maca
46,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_1/Conv2d_0a_1x1/Relu,maca
47,InceptionV3/InceptionV3/Mixed_5d/Branch_2/Conv2d_0a_1x1/Relu,maca
48,InceptionV3/InceptionV3/Mixed_5d/Branch_1/Conv2d_0a_1x1/Relu,maca
49,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_2/Conv2d_0b_3x3/Relu,maca
50,InceptionV3/InceptionV3/Mixed_5d/Branch_2/Conv2d_0b_3x3/Relu,maca
51,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_2/Conv2d_0c_3x3/Relu,maca
52,InceptionV3/InceptionV3/Mixed_5d/Branch_2/Conv2d_0c_3x3/Relu,maca
53,InceptionV3/InceptionV3/Mixed_5d/Branch_3/AvgPool_0a_3x3/AvgPool,maca
54,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_3/Conv2d_0b_1x1/Relu,maca
55,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_5d/Branch_1/Conv2d_0b_5x5/Relu,maca
56,InceptionV3/InceptionV3/Mixed_5d/Branch_1/Conv2d_0b_5x5/Relu,maca
57,InceptionV3/InceptionV3/Mixed_5d/Branch_0/Conv2d_0a_1x1/Relu,cv_dsp0
58,InceptionV3/InceptionV3/Mixed_5d/Branch_3/Conv2d_0b_1x1/Relu,maca
