,op_id,op_type,suc,read,write,MACA,CV_DSP
521,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/concat'],133602,3094,5393,5393
522,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/mul'],133602,3094,4363,4363
523,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu'],133859,0,3172,387238
524,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu'],50997,0,-1,41737
525,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu']",66106,0,22316,22316
526,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu'],148662,3094,26411,1247502
527,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu'],148662,3094,26411,1247502
528,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/concat'],133602,3094,5125,5125
529,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0b_1x3/Relu'],133602,3094,5125,5125
530,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0b_1x3/Relu'],80323,3094,1671,554566
531,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0b_1x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu'],133602,3094,5153,5153
532,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu'],113706,3094,2028,554566
533,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/concat'],133602,3094,5393,5393
534,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/mul'],133602,3094,4363,4363
535,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu'],133859,0,3172,387238
536,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu'],50997,0,-1,41737
537,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu']",66106,0,22316,22316
538,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu'],148662,3094,26411,1247502
539,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu'],148662,3094,26411,1247502
540,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/concat'],133602,3094,5125,5125
541,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu'],133602,3094,5125,5125
542,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu'],80323,3094,1671,554566
543,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0b_1x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu'],133602,3094,5153,5153
544,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu'],113706,3094,2028,554566
545,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/concat'],133602,3094,5393,5393
546,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/mul'],133602,3094,4363,4363
547,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu'],133859,0,3172,387238
548,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu'],50997,0,-1,41737
549,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_8/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu']",66106,0,22316,22316
550,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu'],148662,3094,26411,1247502
551,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu'],148662,3094,26411,1247502
552,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/concat'],133602,3094,5125,5125
553,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu'],133602,3094,5125,5125
554,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu'],80323,3094,1671,554566
555,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0b_1x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu'],133602,3094,5153,5153
556,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu'],113706,3094,2028,554566
557,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/concat'],133602,3094,5393,5393
558,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/mul'],133602,3094,4363,4363
559,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu'],133859,0,3172,387238
560,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu'],50997,0,-1,41737
561,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_9/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu', 'InceptionResnetV2/InceptionResnetV2/Block8/add']",66106,0,22316,22316
562,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu'],148662,3094,26411,1247502
563,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu'],148662,3094,26411,1247502
564,InceptionResnetV2/InceptionResnetV2/Block8/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Block8/concat'],133602,3094,5125,5125
565,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu'],133602,3094,5125,5125
566,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu'],80323,3094,1671,554566
567,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0b_1x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu'],133602,3094,5153,5153
568,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu'],113706,3094,2028,554566
569,InceptionResnetV2/InceptionResnetV2/Block8/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Block8/concat'],133602,3094,5393,5393
570,InceptionResnetV2/InceptionResnetV2/Block8/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Block8/Conv2d_1x1/BiasAdd'],133602,3094,4363,4363
571,InceptionResnetV2/InceptionResnetV2/Block8/Conv2d_1x1/BiasAdd,Conv,['InceptionResnetV2/InceptionResnetV2/Block8/add'],133859,0,3172,387238
572,InceptionResnetV2/InceptionResnetV2/Block8/add,Add,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu'],50997,0,-1,41737
573,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu'],171817,5642,21125,2171277
574,InceptionResnetV2/InceptionResnetV2/Conv2d_7b_1x1/Relu,Relu,['InceptionResnetV2/Logits/AvgPool_1a_8x8/AvgPool'],133602,5642,17560,17560
575,InceptionResnetV2/Logits/AvgPool_1a_8x8/AvgPool,AveragePool,['InceptionResnetV2/Logits/Logits/BiasAdd'],133602,3094,-1,72649
576,InceptionResnetV2/Logits/Logits/BiasAdd,Gemm,[],100,100,100,100
