,op_id,op_type,suc,MACA,CV_DSP
22,InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Mixed_5b/concat'],152950,152950
23,InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_1/Conv2d_0b_5x5/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Mixed_5b/concat'],152950,152950
24,InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_2/Conv2d_0b_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu'],159278,159278
25,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu'],129440,6652396
26,InceptionResnetV2/InceptionResnetV2/Mixed_5b/Branch_2/Conv2d_0c_3x3/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Mixed_5b/concat'],159278,159278
27,InceptionResnetV2/InceptionResnetV2/Mixed_5b/concat,Concat,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Relu']",33715,33715
28,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_0/Conv2d_1x1/Relu'],8820,557660
29,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0a_1x1/Relu'],8820,557660
30,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0a_1x1/Relu'],8820,557660
31,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/concat'],143912,143912
32,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0b_3x3/Relu'],143912,143912
33,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0b_3x3/Relu'],143912,143912
34,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0b_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0b_3x3/Relu'],139928,691262
35,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0b_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0b_3x3/Relu'],139209,4570119
36,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_1/Conv2d_0b_3x3/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/concat'],143912,143912
37,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0b_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0c_3x3/Relu'],147659,147659
38,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0c_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0c_3x3/Relu'],145333,960908
39,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Branch_2/Conv2d_0c_3x3/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/concat'],152950,152950
40,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/mul'],100575,100575
41,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Relu'],143997,954544
42,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Relu'],-1,118648
43,InceptionResnetV2/InceptionResnetV2/Repeat/block35_1/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu']",74246,74246
44,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_0/Conv2d_1x1/Relu'],8820,557660
45,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0a_1x1/Relu'],8820,557660
46,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0a_1x1/Relu'],8820,557660
47,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/concat'],143912,143912
48,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0b_3x3/Relu'],143912,143912
49,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0b_3x3/Relu'],143912,143912
50,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0b_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0b_3x3/Relu'],139928,691262
51,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0b_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0b_3x3/Relu'],139209,4570119
52,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_1/Conv2d_0b_3x3/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/concat'],143912,143912
53,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0b_3x3/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0c_3x3/Relu'],147659,147659
54,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0c_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0c_3x3/Relu'],145333,960908
55,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Branch_2/Conv2d_0c_3x3/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/concat'],152950,152950
56,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/mul'],100575,100575
57,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu'],143997,954544
58,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu'],-1,118648
59,InceptionResnetV2/InceptionResnetV2/Repeat/block35_2/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Relu']",74246,74246
60,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_0/Conv2d_1x1/Relu'],8820,557660
61,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0a_1x1/Relu'],8820,557660
62,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0a_1x1/Relu'],8820,557660
63,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/concat'],143912,143912
64,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0b_3x3/Relu'],143912,143912
65,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0b_3x3/Relu'],143912,143912
66,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0b_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0b_3x3/Relu'],139928,691262
67,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0b_3x3/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_2/Conv2d_0b_3x3/Relu'],139209,4570119
68,InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/Branch_1/Conv2d_0b_3x3/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat/block35_3/concat'],143912,143912
