,op_id,op_type,suc,maca,cv_dsp,"['maca', 'maca']","['maca', 'cv_dsp']","['cv_dsp', 'maca']","['cv_dsp', 'cv_dsp']"
74,node74,Relu,['node75'],4440,4440,[136696],[136696],[136696],[136696]
75,node78,Conv,['node79'],2966,1551558,[136696],[136696],[136696],[136696]
76,node71,Conv,['node72'],25204,821606,[136696],[136696],[136696],[136696]
77,node75,Conv,['node76'],4618,410095,[136696],[136696],[136696],[136696]
78,node79,Relu,['node80'],4920,4920,[136696],[136696],[136696],[136696]
79,node72,Relu,['node80'],7472,7472,[136696],[136696],[136696],[136696]
80,node76,Relu,['node80'],4920,4920,[136696],[136696],[136696],[136696]
81,node80,Concat,"['node81', 'node83', 'node87', 'node91']",6287,6287,"[85965, 85965, 139244, 139244]","[85965, 85965, 139244, 139244]","[85965, 85965, 139244, 139244]","[85965, 85965, 139244, 139244]"
82,node81,Conv,['node82'],3396,554566,[136696],[136696],[136696],[136696]
83,node83,Conv,['node84'],3721,554566,[136696],[136696],[136696],[136696]
84,node87,Conv,['node88'],1758,1551558,[136696],[136696],[136696],[136696]
85,node91,MaxPool,['node92'],3373,144063,[139244],[139244],[139244],[139244]
86,node82,Relu,['node94'],5741,5741,[136696],[136696],[136696],[136696]
87,node84,Relu,['node85'],6110,6110,[3094],[3094],[3094],[3094]
88,node88,Relu,['node89'],4517,4517,[136696],[136696],[136696],[136696]
89,node92,Conv,['node93'],2966,1551558,[136696],[136696],[136696],[136696]
90,node85,Conv,['node86'],12533,387238,[136696],[136696],[136696],[136696]
91,node89,Conv,['node90'],3428,554566,[136696],[136696],[136696],[136696]
92,node93,Relu,['node94'],4920,4920,[136696],[136696],[136696],[136696]
93,node86,Relu,['node94'],8032,8032,[136696],[136696],[136696],[136696]
94,node90,Relu,['node94'],4920,4920,[136696],[136696],[136696],[136696]
95,node94,Concat,"['node95', 'node97', 'node101', 'node105']",5244,5244,"[119348, 85965, 139244, 139244]","[119348, 85965, 139244, 139244]","[119348, 85965, 139244, 139244]","[119348, 85965, 139244, 139244]"
96,node95,Conv,['node96'],2940,1247502,[136696],[136696],[136696],[136696]
97,node97,Conv,['node98'],1347,3970544,[136696],[136696],[136696],[136696]
98,node101,Conv,['node102'],14921,1551558,[136696],[136696],[136696],[136696]
99,node105,MaxPool,['node106'],5533,144063,[85965],[85965],[85965],[85965]
100,node96,Relu,['node108'],7472,7472,[83417],[83417],[83417],[83417]
101,node98,Relu,['node99'],6066,6066,[129014],[129014],[129014],[129014]
102,node102,Relu,['node103'],4517,4517,[136696],[136696],[136696],[136696]
103,node106,Conv,['node107'],24641,554566,[136696],[136696],[136696],[136696]
104,node99,Conv,['node100'],18645,6532990,[137244],[137244],[137244],[137244]
105,node103,Conv,['node104'],3883,4432875,[136696],[136696],[136696],[136696]
106,node107,Relu,['node108'],5862,5862,[83417],[83417],[83417],[83417]
107,node100,Relu,['node108'],8189,8189,[83965],[83965],[83965],[83965]
