,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
158,158,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_0a_1x1/Relu'],0,3642,11158,821606,[137244],[137244],[137244],[137244]
159,159,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0a_1x1/Relu'],0,3642,11158,821606,[137244],[137244],[137244],[137244]
160,160,InceptionV3/InceptionV3/Mixed_7a/Branch_2/MaxPool_1a_3x3/MaxPool,MaxPool,['InceptionV3/InceptionV3/Mixed_7a/concat'],65999,3094,14054,334915,[136696],[136696],[136696],[136696]
161,161,InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu'],133602,3642,8275,8275,[68266],[68266],[68266],[68266]
162,162,InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu'],133602,3642,8275,8275,[86907],[86907],[86907],[86907]
163,163,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu'],64624,3094,13327,2171277,[136696],[136696],[136696],[136696]
164,164,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu'],83265,3642,9621,387238,[137244],[137244],[137244],[137244]
165,165,InceptionV3/InceptionV3/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7a/concat'],133602,3094,5862,5862,[136696],[136696],[136696],[136696]
166,166,InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu'],133602,3642,8275,8275,[86907],[86907],[86907],[86907]
167,167,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu'],83265,3642,9621,387238,[137244],[137244],[137244],[137244]
168,168,InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu'],133602,3642,8275,8275,[3642],[3642],[3642],[3642]
169,169,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu'],0,3094,10939,6532990,[136696],[136696],[136696],[136696]
