,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
0,0,node0,Conv,['node1'],80323,70466,43156,615273,[70466],[70466],[70466],[70466]
1,1,node140,Reshape,['node141'],152821,70466,-1,9691,[70566],[70566],[70566],[70566]
2,2,node1,Relu,['node2'],0,70466,106189,106189,[70466],[70466],[70466],[70466]
3,3,node2,MaxPool,['node3'],0,11756,19699,1001635,[11856],[11856],[11856],[11856]
4,4,node3,LRN,['node4'],100,100,100,100,[113806],[113806],[113806],[113806]
5,5,node4,Conv,['node5'],113706,11756,7067,554566,[125462],[125462],[125462],[125462]
6,6,node5,Relu,['node6'],113706,11756,32077,32077,[95021],[95021],[95021],[95021]
7,7,node6,Conv,['node7'],83265,51146,42245,592472,[199808],[199808],[199808],[199808]
8,8,node7,Relu,['node8'],148662,51146,85069,85069,[51246],[51246],[51246],[51246]
9,9,node8,LRN,['node9'],100,100,100,100,[148762],[148762],[148762],[148762]
10,10,node9,MaxPool,"['node10', 'node12', 'node16', 'node20']",148662,11686,19689,542895,"[92009, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]","[92009, 92009, 92009, 92009]"
11,11,node10,Conv,['node11'],80323,3094,1731,554566,[136696],[136696],[136696],[136696]
12,12,node12,Conv,['node13'],80323,3983,5028,3970544,[137585],[137585],[137585],[137585]
13,13,node16,Conv,['node17'],80323,3094,1653,1096523,[136696],[136696],[136696],[136696]
14,14,node20,MaxPool,['node21'],80323,11686,2644,161904,[92009],[92009],[92009],[92009]
15,15,node11,Relu,['node23'],133602,3094,7935,7935,[116800],[116800],[116800],[116800]
16,16,node13,Relu,['node14'],133602,3983,12884,12884,[117689],[117689],[117689],[117689]
17,17,node17,Relu,['node18'],133602,3094,5125,5125,[136696],[136696],[136696],[136696]
18,18,node21,Conv,['node22'],80323,3094,1744,1551558,[136696],[136696],[136696],[136696]
19,19,node14,Conv,['node15'],113706,5700,25733,6532990,[139302],[139302],[139302],[139302]
20,20,node18,Conv,['node19'],133602,3094,1442,554566,[136696],[136696],[136696],[136696]
