,group_id,graph_id,op_id,order,dispatch
46,group0,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu,6.0,maca
47,group0,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Branch_1/Conv2d_0c_3x1/Relu,7.0,cv_dsp0
48,group0,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/concat,8.0,cv_dsp0
49,group0,76,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/mul,9.0,maca
50,group0,76,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_7/Relu,10.0,cv_dsp0
51,group0,75,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu,0.0,cv_dsp0
52,group0,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0a_1x1/Relu,0.0,maca
53,group0,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_0/Conv2d_1x1/Relu,1.0,maca
54,group0,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0a_1x1/Relu,2.0,cv_dsp0
55,group0,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_0/Conv2d_1x1/Relu,3.0,cv_dsp0
56,group0,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0b_1x3/Relu,4.0,maca
57,group0,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0b_1x3/Relu,5.0,cv_dsp0
58,group0,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0c_3x1/Relu,6.0,maca
59,group0,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Branch_1/Conv2d_0c_3x1/Relu,7.0,cv_dsp0
60,group0,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/concat,8.0,cv_dsp0
61,group0,74,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/mul,9.0,maca
62,group0,74,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_6/Relu,10.0,cv_dsp0
63,group0,73,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Relu,0.0,cv_dsp0
64,group0,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0a_1x1/Relu,0.0,maca
65,group0,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_0/Conv2d_1x1/Relu,1.0,maca
66,group0,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0a_1x1/Relu,2.0,cv_dsp0
67,group0,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_0/Conv2d_1x1/Relu,3.0,cv_dsp0
68,group0,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0b_1x3/Relu,4.0,maca
69,group0,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0b_1x3/Relu,5.0,cv_dsp0
70,group0,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0c_3x1/Relu,6.0,maca
71,group0,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Branch_1/Conv2d_0c_3x1/Relu,7.0,cv_dsp0
72,group0,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/concat,8.0,cv_dsp0
73,group0,72,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/mul,9.0,maca
74,group0,72,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_5/Relu,10.0,cv_dsp0
75,group0,71,InceptionResnetV2/InceptionResnetV2/Repeat_2/block8_4/Relu,0.0,cv_dsp0
