,op_id,op_type,suc,cpu_b,cpu_s,gpu
6,7,7,"[8, 9, 11, 14]",820.3009999999999,2952.649,1240.718
7,8,8,[16],806.55,2240.643,1350.344
8,9,9,[10],639.548,1572.221,1294.636
9,10,10,[16],3986.5430000000006,11471.093,7812.896
10,11,11,[12],804.6750000000001,2269.81,1378.011
11,12,12,[13],1995.2720000000002,5406.5019999999995,3127.526
12,13,13,[16],2648.446,7091.724,3063.983
13,14,14,[15],534.59,1711.472,985.383
14,15,15,[16],459.338,1318.261,913.674
15,16,16,[],636.131,639.13,690.464
