,Unnamed: 0,op_id,op_type,suc,CPU_B,CPU_S,GPU,"['CPU_B', 'CPU_S']","['CPU_S', 'CPU_B']","['CPU_B', 'GPU']","['GPU', 'CPU_B']","['CPU_S', 'GPU']","['GPU', 'CPU_S']",['size']
28,28,29,29,[30],123.001,419.461,1520.471,[14.749941366951164],[8.999909154524193],[11.535841790303326],[3.955248466266168],[22.054570533521847],[10.864698961126432],[37632.0]
29,29,30,30,"[31, 32, 33, 34]",173.043,342.336,538.171,"[157.33270791414574, 157.33270791414574, 157.33270791414574, 157.33270791414574]","[95.9990309815914, 95.9990309815914, 95.9990309815914, 95.9990309815914]","[123.04897909656881, 123.04897909656881, 123.04897909656881, 123.04897909656881]","[42.1893169735058, 42.1893169735058, 42.1893169735058, 42.1893169735058]","[235.24875235756636, 235.24875235756636, 235.24875235756636, 235.24875235756636]","[115.89012225201526, 115.89012225201526, 115.89012225201526, 115.89012225201526]","[401408.0, 401408.0, 401408.0, 401408.0]"
30,30,31,31,[38],781.59,2091.056,1639.514,[49.16647122317055],[29.999697181747308],[38.452805967677754],[13.184161554220559],[73.51523511173949],[36.21566320375477],[125440.0]
31,31,32,32,[36],582.2130000000001,1627.053,1401.553,[34.416529856219384],[20.99978802722312],[26.916964177374425],[9.22891308795439],[51.460664578217646],[25.35096424262834],[87808.0]
32,32,33,33,[37],207.669,562.17,772.2570000000001,[7.374970683475582],[4.499954577262097],[5.767920895151663],[1.977624233133084],[11.027285266760924],[5.432349480563216],[18816.0]
33,33,34,34,[35],121.126,522.254,603.297,[157.33270791414574],[95.9990309815914],[123.04897909656881],[42.1893169735058],[235.24875235756636],[115.89012225201526],[401408.0]
34,34,35,35,[38],413.211,1147.007,1082.0510000000002,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
35,35,36,36,[38],1195.052,2981.562,1709.764,[68.83305971243877],[41.99957605444624],[53.83392835474885],[18.45782617590878],[102.92132915643529],[50.70192848525668],[175616.0]
36,36,37,37,[38],181.126,726.7130000000001,1627.93,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
37,37,38,38,"[39, 40, 41, 42]",147.168,313.419,481.046,"[157.33270791414574, 157.33270791414574, 157.33270791414574, 157.33270791414574]","[95.9990309815914, 95.9990309815914, 95.9990309815914, 95.9990309815914]","[123.04897909656881, 123.04897909656881, 123.04897909656881, 123.04897909656881]","[42.1893169735058, 42.1893169735058, 42.1893169735058, 42.1893169735058]","[235.24875235756636, 235.24875235756636, 235.24875235756636, 235.24875235756636]","[115.89012225201526, 115.89012225201526, 115.89012225201526, 115.89012225201526]","[401408.0, 401408.0, 401408.0, 401408.0]"
38,38,39,39,[46],630.797,1767.97,1667.722,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
39,39,40,40,[44],650.755,1713.928,1618.389,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
40,40,41,41,[45],215.669,561.462,820.298,[7.374970683475582],[4.499954577262097],[5.767920895151663],[1.977624233133084],[11.027285266760924],[5.432349480563216],[18816.0]
41,41,42,42,[43],150.709,465.045,601.0889999999999,[157.33270791414574],[95.9990309815914],[123.04897909656881],[42.1893169735058],[235.24875235756636],[115.89012225201526],[401408.0]
