,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
42,43,43,[46],407.04499999999996,1076.132,723.76354,[50176.0],[0],[19.666588489268218],[22.000647453034162],[11.999878872698925],[0],[36.02561911065886],[11.893189687651287],[21.105790347464968],[0]
43,44,44,[46],1534.387,5659.289,1419.97184,[200704.0],[0],[78.66635395707287],[88.00258981213665],[47.9995154907957],[0],[144.10247644263544],[47.572758750605146],[84.42316138985987],[0]
44,45,45,[46],184.79299999999998,701.213,422.04436,[50176.0],[0],[19.666588489268218],[22.000647453034162],[11.999878872698925],[0],[36.02561911065886],[11.893189687651287],[21.105790347464968],[0]
45,46,46,"[47, 48, 49, 50]",181.834,319.752,140.44034,"[401408.0, 401408.0, 401408.0, 401408.0]","[0, 0, 0, 0]","[157.33270791414574, 157.33270791414574, 157.33270791414574, 157.33270791414574]","[176.0051796242733, 176.0051796242733, 176.0051796242733, 176.0051796242733]","[95.9990309815914, 95.9990309815914, 95.9990309815914, 95.9990309815914]","[169.69983626010088, 169.69983626010088, 169.69983626010088, 169.69983626010088]","[288.20495288527087, 288.20495288527087, 288.20495288527087, 288.20495288527087]","[95.14551750121029, 95.14551750121029, 95.14551750121029, 95.14551750121029]","[168.84632277971974, 168.84632277971974, 168.84632277971974, 168.84632277971974]","[105.91240105540898, 105.91240105540898, 105.91240105540898, 105.91240105540898]"
46,47,47,[54],585.005,1623.219,938.98448,[87808.0],[0],[34.416529856219384],[38.50113304280978],[20.99978802722312],[0],[63.044833443653005],[20.813081953389748],[36.935133108063695],[0]
47,48,48,[52],705.631,1830.888,1108.4834,[112896.0],[0],[44.24982410085349],[49.501456769326865],[26.999727463572583],[0],[81.05764299898242],[26.75967679721539],[47.488028281796176],[0]
48,49,49,[53],274.29400000000004,785.797,360.89052000000004,[25088.0],[0],[9.833294244634109],[11.000323726517081],[5.999939436349463],[0],[18.01280955532943],[5.946594843825643],[10.552895173732484],[0]
49,50,50,[51],132.08499999999998,454.71200000000005,359.05298000000005,[401408.0],[0],[157.33270791414574],[176.0051796242733],[95.9990309815914],[169.69983626010088],[288.20495288527087],[95.14551750121029],[168.84632277971974],[105.91240105540898]
50,51,51,[54],411.83700000000005,1076.757,628.11774,[50176.0],[0],[19.666588489268218],[22.000647453034162],[11.999878872698925],[0],[36.02561911065886],[11.893189687651287],[21.105790347464968],[0]
51,52,52,[54],1782.5140000000001,4451.072,2023.44102,[225792.0],[0],[88.49964820170698],[99.00291353865373],[53.999454927145166],[0],[162.11528599796483],[53.51935359443078],[94.97605656359235],[0]
52,53,53,[54],223.12699999999998,751.63,433.30778,[50176.0],[0],[19.666588489268218],[22.000647453034162],[11.999878872698925],[0],[36.02561911065886],[11.893189687651287],[21.105790347464968],[0]
53,54,54,"[55, 56, 57, 58]",153.209,343.294,142.74452,"[413952.0, 413952.0, 413952.0, 413952.0]","[0, 0, 0, 0]","[162.2493550364628, 162.2493550364628, 162.2493550364628, 162.2493550364628]","[181.50534148753184, 181.50534148753184, 181.50534148753184, 181.50534148753184]","[98.99900069976613, 98.99900069976613, 98.99900069976613, 98.99900069976613]","[175.00295614322903, 175.00295614322903, 175.00295614322903, 175.00295614322903]","[297.21135766293554, 297.21135766293554, 297.21135766293554, 297.21135766293554]","[98.1188149231231, 98.1188149231231, 98.1188149231231, 98.1188149231231]","[174.122770366586, 174.122770366586, 174.122770366586, 174.122770366586]","[109.2221635883905, 109.2221635883905, 109.2221635883905, 109.2221635883905]"
54,55,55,[62],1253.927,3394.148,1867.00054,[200704.0],[0],[78.66635395707287],[88.00258981213665],[47.9995154907957],[0],[144.10247644263544],[47.572758750605146],[84.42316138985987],[0]
55,56,56,[60],781.214,2271.766,1331.3236000000002,[125440.0],[0],[49.16647122317055],[55.001618632585405],[29.999697181747308],[0],[90.06404777664713],[29.73297421912821],[52.76447586866242],[0]
56,57,57,[61],253.919,710.713,426.26438,[25088.0],[0],[9.833294244634109],[11.000323726517081],[5.999939436349463],[0],[18.01280955532943],[5.946594843825643],[10.552895173732484],[0]
57,58,58,[59],132.043,440.42,389.41405999999995,[413952.0],[0],[162.2493550364628],[181.50534148753184],[98.99900069976613],[175.00295614322903],[297.21135766293554],[98.1188149231231],[174.122770366586],[109.2221635883905]
58,59,59,[62],666.214,1767.387,1179.34484,[100352.0],[0],[39.333176978536436],[44.001294906068324],[23.99975774539785],[0],[72.05123822131772],[23.786379375302573],[42.211580694929935],[0]
59,60,60,[62],2189.476,5653.455,2376.5189800000003,[250880.0],[0],[98.3329424463411],[110.00323726517081],[59.999394363494616],[0],[180.12809555329426],[59.46594843825642],[105.52895173732485],[0]
60,61,61,[62],339.378,1551.802,560.04216,[100352.0],[0],[39.333176978536436],[44.001294906068324],[23.99975774539785],[0],[72.05123822131772],[23.786379375302573],[42.211580694929935],[0]
61,62,62,[63],282.085,381.003,182.92986,[652288.0],[0],[255.66565036048684],[286.0084168894441],[155.99842534508602],[275.7622339226639],[468.3330484385651],[154.6114659394667],[274.3752745170446],[172.10765171503957]
62,63,63,"[64, 65, 66, 67]",109.876,337.502,144.05288000000002,"[163072.0, 163072.0, 163072.0, 163072.0]","[0, 0, 0, 0]","[63.91641259012171, 63.91641259012171, 63.91641259012171, 63.91641259012171]","[71.50210422236103, 71.50210422236103, 71.50210422236103, 71.50210422236103]","[38.999606336271505, 38.999606336271505, 38.999606336271505, 38.999606336271505]","[0, 0, 0, 0]","[117.08326210964127, 117.08326210964127, 117.08326210964127, 117.08326210964127]","[38.65286648486668, 38.65286648486668, 38.65286648486668, 38.65286648486668]","[68.59381862926115, 68.59381862926115, 68.59381862926115, 68.59381862926115]","[0, 0, 0, 0]"
63,64,64,[71],562.837,1838.138,1172.30144,[50176.0],[0],[19.666588489268218],[22.000647453034162],[11.999878872698925],[0],[36.02561911065886],[11.893189687651287],[21.105790347464968],[0]
64,65,65,[69],412.41999999999996,1127.716,743.01954,[31360.0],[0],[12.291617805792637],[13.750404658146351],[7.499924295436827],[0],[22.516011944161782],[7.433243554782052],[13.191118967165606],[0]
65,66,66,[70],155.543,405.586,207.93674000000001,[6272.0],[0],[2.4583235611585272],[2.7500809316292703],[1.4999848590873657],[0],[4.503202388832357],[1.4866487109564108],[2.638223793433121],[0]
66,67,67,[68],48.75,240.37599999999998,152.71044,[163072.0],[0],[63.91641259012171],[71.50210422236103],[38.999606336271505],[0],[117.08326210964127],[38.65286648486668],[68.59381862926115],[0]
67,68,68,[71],312.419,936.173,735.7328000000001,[25088.0],[0],[9.833294244634109],[11.000323726517081],[5.999939436349463],[0],[18.01280955532943],[5.946594843825643],[10.552895173732484],[0]
68,69,69,[71],1085.3010000000002,2459.6420000000003,1913.5875999999998,[62720.0],[0],[24.583235611585273],[27.500809316292703],[14.999848590873654],[0],[45.032023888323565],[14.866487109564105],[26.38223793433121],[0]
69,70,70,[71],183.002,472.212,393.76578000000006,[25088.0],[0],[9.833294244634109],[11.000323726517081],[5.999939436349463],[0],[18.01280955532943],[5.946594843825643],[10.552895173732484],[0]
70,71,71,"[72, 73, 74, 75]",96.417,184.459,64.66304000000001,"[163072.0, 163072.0, 163072.0, 163072.0]","[0, 0, 0, 0]","[63.91641259012171, 63.91641259012171, 63.91641259012171, 63.91641259012171]","[71.50210422236103, 71.50210422236103, 71.50210422236103, 71.50210422236103]","[38.999606336271505, 38.999606336271505, 38.999606336271505, 38.999606336271505]","[0, 0, 0, 0]","[117.08326210964127, 117.08326210964127, 117.08326210964127, 117.08326210964127]","[38.65286648486668, 38.65286648486668, 38.65286648486668, 38.65286648486668]","[68.59381862926115, 68.59381862926115, 68.59381862926115, 68.59381862926115]","[0, 0, 0, 0]"
71,72,72,[79],796.089,2402.058,1745.67204,[75264.0],[0],[29.49988273390233],[33.00097117955124],[17.999818309048386],[0],[54.038428665988285],[17.839784531476926],[31.658685521197455],[0]
72,73,73,[77],428.25300000000004,1262.259,881.5456800000001,[37632.0],[0],[14.749941366951164],[16.50048558977562],[8.999909154524193],[0],[27.019214332994142],[8.919892265738463],[15.829342760598728],[0]
73,74,74,[78],189.21,473.795,281.81318,[9408.0],[0],[3.687485341737791],[4.125121397443905],[2.2499772886310483],[0],[6.754803583248536],[2.229973066434616],[3.957335690149682],[0]
74,75,75,[76],51.417,247.835,155.4563,[163072.0],[0],[63.91641259012171],[71.50210422236103],[38.999606336271505],[0],[117.08326210964127],[38.65286648486668],[68.59381862926115],[0]
75,76,76,[79],302.16900000000004,930.2149999999999,724.6143800000001,[25088.0],[0],[9.833294244634109],[11.000323726517081],[5.999939436349463],[0],[18.01280955532943],[5.946594843825643],[10.552895173732484],[0]
76,77,77,[79],1525.8039999999999,3427.982,2100.6233399999996,[75264.0],[0],[29.49988273390233],[33.00097117955124],[17.999818309048386],[0],[54.038428665988285],[17.839784531476926],[31.658685521197455],[0]
77,78,78,[79],227.62699999999998,625.9209999999999,432.22443999999996,[25088.0],[0],[9.833294244634109],[11.000323726517081],[5.999939436349463],[0],[18.01280955532943],[5.946594843825643],[10.552895173732484],[0]
78,79,79,[80],89.33399999999999,228.21,70.81392,[200704.0],[0],[78.66635395707287],[88.00258981213665],[47.9995154907957],[0],[144.10247644263544],[47.572758750605146],[84.42316138985987],[0]
79,80,80,[81],30.667,268.127,60.96468,[4096.0],[0],[1.6054357950423035],[1.79597122065585],[0.979581948791749],[0],[2.940866866176233],[0.9708726275633701],[1.7229216610175486],[0]
80,81,81,[82],532.046,903.59,462.92302,[4004.0],[0],[1.5693762019895956],[1.7556320233169003],[0.9575796198638094],[0],[2.874812239299228],[0.9490659181552086],[1.6842232252720373],[0]
81,82,82,[83],61.751,129.501,55.89046,[4004.0],[0],[1.5693762019895956],[1.7556320233169003],[0.9575796198638094],[0],[2.874812239299228],[0.9490659181552086],[1.6842232252720373],[0]
82,83,83,[],27.75,45.958000000000006,275.25146,[],[],[],[],[],[],[],[],[],[]
