,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
126,126,126,[127],2523.314,6873.179,2831.3183,[221952.0],[0],[86.99455214385483],[97.31919051928888],[53.081096850152896],[0],[159.35822331092464],[52.60916050609012],[93.36081750638841],[0]
127,127,127,[128],136.334,295.127,230.22772,[443904.0],[0],[173.98910428770967],[194.63838103857776],[106.16219370030579],[187.66550770090237],[318.7164466218493],[105.21832101218024],[186.72163501277683],[117.12506596306069]
128,128,128,[129],5599.090999999999,14271.03,7227.62194,[1257728.0],[262.0430724801537],[492.9691288151773],[551.4754129426369],[300.79288215086643],[531.71893848589],[903.0299320952395],[298.11857620117735],[529.044632536201],[331.85435356200526]
129,129,129,[130],631.005,892.673,545.53782,[1257728.0],[262.0430724801537],[492.9691288151773],[551.4754129426369],[300.79288215086643],[531.71893848589],[903.0299320952395],[298.11857620117735],[529.044632536201],[331.85435356200526]
130,130,130,"[131, 132, 137]",302.836,490.462,0.0,"[1257728.0, 1257728.0, 1257728.0]","[262.0430724801537, 262.0430724801537, 262.0430724801537]","[492.9691288151773, 492.9691288151773, 492.9691288151773]","[551.4754129426369, 551.4754129426369, 551.4754129426369]","[300.79288215086643, 300.79288215086643, 300.79288215086643]","[531.71893848589, 531.71893848589, 531.71893848589]","[903.0299320952395, 903.0299320952395, 903.0299320952395]","[298.11857620117735, 298.11857620117735, 298.11857620117735]","[529.044632536201, 529.044632536201, 529.044632536201]","[331.85435356200526, 331.85435356200526, 331.85435356200526]"
131,131,131,[135],2817.3590000000004,7149.764999999999,4122.1364,[221952.0],[0],[86.99455214385483],[97.31919051928888],[53.081096850152896],[0],[159.35822331092464],[52.60916050609012],[93.36081750638841],[0]
132,132,132,[133],1886.892,5138.374,2725.47158,[147968.0],[0],[57.996368095903215],[64.87946034619259],[35.38739790010193],[0],[106.23881554061643],[35.07277367072675],[62.24054500425894],[0]
133,133,133,[134],1782.349,4758.121,1977.4879400000002,[184960.0],[0],[72.49546011987901],[81.09932543274073],[44.23424737512741],[0],[132.7985194257705],[43.84096708840843],[77.80068125532367],[0]
134,134,134,[135],2507.105,6723.72,2757.55684,[221952.0],[0],[86.99455214385483],[97.31919051928888],[53.081096850152896],[0],[159.35822331092464],[52.60916050609012],[93.36081750638841],[0]
135,135,135,[136],135.16799999999998,283.419,132.9961,[443904.0],[0],[173.98910428770967],[194.63838103857776],[106.16219370030579],[187.66550770090237],[318.7164466218493],[105.21832101218024],[186.72163501277683],[117.12506596306069]
136,136,136,[137],5611.675,14253.446,7155.397999999999,[1257728.0],[262.0430724801537],[492.9691288151773],[551.4754129426369],[300.79288215086643],[531.71893848589],[903.0299320952395],[298.11857620117735],[529.044632536201],[331.85435356200526]
137,137,137,[138],634.3810000000001,854.924,569.63384,[1257728.0],[262.0430724801537],[492.9691288151773],[551.4754129426369],[300.79288215086643],[531.71893848589],[903.0299320952395],[298.11857620117735],[529.044632536201],[331.85435356200526]
