,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
55,55,55,[56],815.5070000000001,958.55,671.3888599999999,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
56,56,56,"[57, 58, 59, 65]",476.588,676.589,0.0,"[1568000.0, 1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913, 413.7203166226913]"
57,57,57,[63],800.7990000000001,2599.854,871.28216,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
58,58,58,[60],720.84,2140.059,870.02882,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
59,59,59,[61],724.715,2515.4790000000003,863.5321,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
60,60,60,[63],517.5880000000001,1738.347,732.58436,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
61,61,61,[62],677.465,2307.018,792.26486,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
62,62,62,[63],1213.344,3687.154,1069.82046,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
63,63,63,[64],320.211,358.00300000000004,386.77318,[627200.0],[0],[245.83235611585272],[275.008093162927],[149.99848590873654],[265.1559941564076],[450.32023888323573],[148.66487109564105],[263.8223793433121],[165.48812664907652]
64,64,64,[65],2800.4829999999997,6716.929,2811.79314,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
